,B02,B03,B08,B11,Clase
479,1184.0,1273.0,1367.0,1320.0,agua
480,1190.0,1268.0,1310.0,1234.0,agua
481,1212.0,1251.0,1312.0,1242.0,agua
482,1217.0,1259.0,1299.0,1278.0,agua
483,1218.0,1275.0,1307.0,1294.0,agua
484,1210.0,1275.0,1299.0,1306.0,agua
485,1240.0,1377.0,1970.0,1600.0,agua
486,1196.0,1268.0,1447.0,1320.0,agua
487,1190.0,1273.0,1341.0,1225.0,agua
488,1197.0,1260.0,1319.0,1242.0,agua
489,1210.0,1266.0,1306.0,1306.0,agua
490,1212.0,1269.0,1356.0,1367.0,agua
491,1227.0,1294.0,1341.0,1440.0,agua
492,1204.0,1244.0,1430.0,1303.0,agua
493,1193.0,1268.0,1351.0,1235.0,agua
494,1185.0,1261.0,1313.0,1281.0,agua
495,1227.0,1245.0,1353.0,1405.0,agua
496,1216.0,1265.0,1438.0,1577.0,agua
497,1232.0,1326.0,1567.0,1771.0,agua
498,1196.0,1280.0,1354.0,1247.0,agua
499,1192.0,1266.0,1315.0,1323.0,agua
500,1206.0,1282.0,1412.0,1515.0,agua
501,1277.0,1374.0,1331.0,1083.0,agua
502,1274.0,1399.0,1336.0,1082.0,agua
503,1269.0,1388.0,1336.0,1083.0,agua
504,1282.0,1374.0,1342.0,1086.0,agua
505,1282.0,1382.0,1343.0,1089.0,agua
506,1275.0,1388.0,1342.0,1089.0,agua
507,1280.0,1376.0,1341.0,1085.0,agua
508,1298.0,1368.0,1333.0,1085.0,agua
509,1276.0,1381.0,1332.0,1084.0,agua
510,1287.0,1378.0,1331.0,1083.0,agua
511,1299.0,1385.0,1339.0,1084.0,agua
512,1279.0,1389.0,1339.0,1086.0,agua
513,1265.0,1378.0,1342.0,1088.0,agua
514,1265.0,1367.0,1342.0,1087.0,agua
515,1270.0,1335.0,1333.0,1084.0,agua
516,1280.0,1354.0,1332.0,1078.0,agua
517,1282.0,1366.0,1332.0,1073.0,agua
518,1293.0,1361.0,1339.0,1088.0,agua
519,1289.0,1368.0,1334.0,1086.0,agua
520,1263.0,1368.0,1333.0,1084.0,agua
521,1264.0,1391.0,1334.0,1083.0,agua
522,1286.0,1395.0,1339.0,1084.0,agua
523,1275.0,1385.0,1339.0,1086.0,agua
524,1276.0,1370.0,1345.0,1087.0,agua
525,1289.0,1368.0,1340.0,1086.0,agua
