Wavelength (nm),Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Reflectance_spct
500,0.0,0.881011,0.0,0.0,0.0,0.0,0.0,0.057564,0.0,0.0755683034658432
501,0.0,0.877453,0.0,0.0,0.0,0.0,0.0,0.094013,0.0,0.0757919996976852
502,0.0,0.883542,0.0,0.0,0.0,0.0,0.0,0.167313,0.0,0.0759991034865379
503,0.0,0.889667,0.0,0.0,0.0,0.0,0.0,0.266714,0.0,0.0762220695614815
504,0.0,0.897977,0.0,0.0,0.0,0.0,0.0,0.438556,0.0,0.0764799118041992
505,0.0,0.899475,0.0,0.0,0.0,0.0,0.0,0.610197,0.0,0.076757475733757
506,0.0,0.90988,0.0,0.0,0.0,0.0,0.0,0.78014,0.0,0.0769513472914696
507,0.0,0.910928,0.0,0.0,0.0,0.0,0.0,0.913945,0.0,0.0771696642041206
508,0.0,0.903034,0.0,0.0,0.0,0.0,0.0,0.955679,0.0,0.0774321779608727
509,0.0,0.894222,0.0,0.0,0.0,0.0,0.0,0.985761,0.0,0.0776776149868965
510,0.0,0.85751,0.0,0.0,0.0,0.0,0.0,0.985862,0.0,0.0779240131378174
511,0.0,0.723971,0.0,0.0,0.0,0.0,0.0,0.987369,0.0,0.0781784281134605
512,0.0,0.493542,0.0,0.0,0.0,0.0,0.0,0.992555,0.0,0.0784434080123901
513,0.0,0.27137,0.0,0.0,0.0,0.0,0.0,0.99658,0.0,0.0786946415901184
514,0.0,0.130876,0.0,0.0,0.0,0.0,0.0,0.997891,0.0,0.0789448767900467
515,0.0,0.058606,0.0,0.0,0.0,0.0,0.0,0.999061,0.0,0.0792134553194046
516,0.0,0.02717,0.0,0.0,0.0,0.0,0.0,0.99981,0.0,0.0794406682252884
517,0.0,0.013212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0796703398227692
518,0.0,0.006869,0.0,0.0,0.0,0.0,0.0,0.998579,0.0,0.0799256339669228
519,0.0,0.003712,0.0,0.0,0.0,0.0,0.0,0.995538,0.0,0.0801588371396065
520,0.0,0.00207,0.0,0.0,0.0,0.0,0.0,0.987968,0.0,0.0804127231240273
521,0.0,0.001197,0.0,0.0,0.0,0.0,0.0,0.983542,0.0,0.0806921347975731
522,0.0,0.000756,8.5e-05,0.0,0.0,0.0,0.0,0.988302,0.0,0.0809667930006981
523,0.0,0.000455,0.000394,0.0,0.0,0.0,0.0,0.98977,0.0,0.0812459513545036
524,0.0,0.000349,0.001046,0.0,0.0,0.0,0.0,0.982894,0.0,0.081536740064621
525,0.0,0.000241,0.002574,0.0,0.0,0.0,0.0,0.977055,0.0,0.081834465265274
526,0.0,0.000117,0.005944,0.0,0.0,0.0,0.0,0.973941,0.0,0.082084909081459
527,0.0,6.1e-05,0.014077,0.0,0.0,0.0,0.0,0.970613,0.0,0.0823403894901276
528,0.0,1e-05,0.035393,0.0,0.0,0.0,0.0,0.966541,0.0,0.0826497822999954
529,0.0,0.0,0.087833,0.0,0.0,0.0,0.0,0.96475,0.0,0.0829147025942802
530,0.0,0.0,0.190467,0.0,0.0,0.0,0.0,0.969453,0.0,0.0831817612051964
531,0.0,0.0,0.345364,0.0,0.0,0.0,0.0,0.970928,0.0,0.0834968090057373
532,0.0,0.0,0.525304,0.0,0.0,0.0,0.0,0.963851,0.0,0.0837744921445847
533,0.0,0.0,0.684974,0.0,0.0,0.0,0.0,0.957536,0.0,0.0840633362531662
534,0.0,0.0,0.809275,0.0,0.0,0.0,0.0,0.953494,0.0,0.0843360498547554
535,0.0,0.0,0.904478,0.0,0.0,0.0,0.0,0.95326,0.0,0.0846285596489906
536,0.0,0.0,0.946407,0.0,0.0,0.0,0.0,0.963139,0.0,0.0849115252494812
537,0.0,0.0,0.974207,0.0,0.0,0.0,0.0,0.971123,0.0,0.0851839631795883
538,0.0,0.0,0.986657,0.0,0.0,0.0,0.0,0.974405,0.0,0.0854574963450432
539,0.0,0.0,0.983655,0.0,0.0,0.0,0.0,0.977722,0.0,0.0857601687312126
540,0.0,0.0,0.968886,0.0,0.0,0.0,0.0,0.980971,0.0,0.0860635340213776
541,0.0,0.0,0.963811,0.0,0.0,0.0,0.0,0.981077,0.0,0.0863375812768936
542,0.0,0.0,0.979598,0.0,0.0,0.0,0.0,0.972067,0.0,0.0866076871752739
543,0.0,0.0,0.982956,0.0,0.0,0.0,0.0,0.965899,0.0,0.0868842080235481
544,0.0,0.0,0.967838,0.0,0.0,0.0,0.0,0.966641,0.0,0.0871751606464386
545,0.0,0.0,0.969181,0.0,0.0,0.0,0.0,0.966835,0.0,0.0874858796596527
546,0.0,0.0,0.968827,0.0,0.0,0.0,0.0,0.965561,0.0,0.0877742990851402
547,0.0,0.0,0.979973,0.0,0.0,0.0,0.0,0.96578,0.0,0.088039718568325
548,0.0,0.0,0.974392,0.0,0.0,0.0,0.0,0.969732,0.0,0.0883319526910782
549,0.0,0.0,0.975818,0.0,0.0,0.0,0.0,0.972708,0.0,0.0886319652199745
550,0.0,0.0,0.978208,0.0,0.0,0.0,0.0,0.972906,0.0,0.0889331102371216
551,0.0,0.0,0.979406,0.0,0.0,0.0,0.0,0.972297,0.0,0.0892327427864075
552,0.0,0.0,0.967229,0.0,0.0,0.0,0.0,0.969583,0.0,0.0895292609930038
553,0.0,0.0,0.974522,0.0,0.0,0.0,0.0,0.969078,0.0,0.089823842048645
554,0.0,0.0,0.98096,0.0,0.0,0.0,0.0,0.974158,0.0,0.0901191681623459
555,0.0,0.0,0.983397,0.0,0.0,0.0,0.0,0.977901,0.0,0.0904202312231064
556,0.0,0.0,0.978607,0.0,0.0,0.0,0.0,0.978028,0.0,0.09071946144104
557,0.0,0.0,0.970039,0.0,0.0,0.0,0.0,0.977026,0.0,0.0910139009356499
558,0.0,0.0,0.958314,0.0,0.0,0.0,0.0,0.972688,0.0,0.0913116410374641
559,0.0,0.0,0.953399,0.0,0.0,0.0,0.0,0.968789,0.0,0.0916251316666603
560,0.0,0.0,0.966447,0.0,0.0,0.0,0.0,0.965943,0.0,0.0919433087110519
561,0.0,0.0,0.977656,0.0,0.0,0.0,0.0,0.963953,0.0,0.0922259241342545
562,0.0,0.0,0.966534,0.0,0.0,0.0,0.0,0.964158,0.0,0.09250258654356
563,0.0,0.0,0.959038,0.0,0.0,0.0,0.0,0.963216,0.0,0.0927801206707954
564,0.0,0.0,0.947871,0.0,0.0,0.0,0.0,0.959149,0.0,0.0930544435977936
565,0.0,0.0,0.946245,0.0,0.0,0.0,0.0,0.955814,0.0,0.0933389291167259
